-7.5,-0.6333,0.01134
-7,-0.5857,0.01012
-6.5,-0.5327,0.00983
-6,-0.479,0.00956
-5.5,-0.4251,0.00926
-4,-0.265,0.00745
-3.5,-0.2098,0.0071
-3,-0.1543,0.00678
-2.5,-0.0983,0.00657
-2,-0.0437,0.00592
-1.5,0.0084,0.00453
-1,0.0641,0.00419
-0.5,0.1206,0.00408
0,0.1775,0.00407
0.5,0.2339,0.00411
1,0.2905,0.00417
1.5,0.3461,0.00434
2,0.4005,0.00466
2.5,0.4448,0.00628
3,0.4929,0.00746
3.5,0.5467,0.00785
4,0.6009,0.00818
4.5,0.654,0.00861
5,0.7071,0.00902
5.5,0.7593,0.00948
6,0.81,0.01006
6.5,0.8584,0.01078
7,0.8978,0.01253
7.5,0.9463,0.01277
8,0.9987,0.01323
8.5,1.0483,0.01396
9,1.0978,0.01458
9.5,1.1359,0.01671
10,1.1856,0.01703
10.5,1.2323,0.01769
11,1.2771,0.01843
11.5,1.3211,0.01914
12,1.3496,0.02136
12.5,1.3817,0.02255
13,1.4086,0.02371
13.5,1.4259,0.02568
14,1.4454,0.02759
14.5,1.4645,0.02964
15,1.4737,0.03273
15.5,1.4723,0.03705
16,1.445,0.04463
16.5,1.4066,0.05478
17,1.3599,0.06826
17.5,1.3232,0.08308
18,1.2605,0.10774
